START STOP SIZE STRAND GENE
6009132 7700847 1691715 + A2BP1
81218078 82387698 1169620 + CDH13
76691051 77804064 1113013 + WWOX
25610847 26056510 445663 + HS3ST4
23754822 24139063 384241 + PRKCB1
60244735 60627537 382802 - CDH8
17108839 17472239 363400 - XYLT1
48082022 48418419 336397 - ZNF423
45746800 46052516 305716 - ITFG1
80036394 80302866 266472 + CMIP
71378455 71639775 261320 - ATBF1
74907577 75150461 242884 + CNTNAP4
46052738 46291755 239017 + PHKB
10945942 11183539 237597 + KIAA0350
27468970 27699190 230220 + KIAA0556
20851976 21078263 226287 - DNAH3
87861535 88084470 222935 - ANKRD11
69618511 69822070 203559 - HYDIN
79195178 79395676 200498 - CDYL2
14072696 14268130 195434 + MKL2
15950934 16143774 192840 + ABCC1
76379983 76571502 191519 + KIAA1576
68353774 68533144 179370 + WWP2
63538185 63713420 175235 - CDH11
51747338 51918283 170945 + CHD9
54783648 54948651 165003 + GNAO1
73043356 73198518 155162 - GLG1
15704494 15858369 153875 - MYH11
15435825 15589418 153593 + C16orf45
3952653 4106187 153534 - ADCY9
75873928 76026512 152584 - ADAMTS18
19474540 19619945 145405 + MGC16824
66676875 66818338 141463 + NFATC3
19635278 19776358 141080 + IQCK
12664437 12805225 140788 - FLJ11151
73885108 74024888 139780 - CFDP1
68156497 68296054 139557 + NFAT5
86542538 86668422 125884 + BANP
18723676 18844887 121211 - SMG1
55321607 55436177 114570 + NUP93
67778550 67892381 113831 + SNTB2
69278844 69392562 113718 - VAC14
28016800 28130202 113402 - XPO6
73590415 73702393 111978 + ZNRF1
73464971 73576518 111547 - WDR59
8675945 8785932 109987 + ABAT
57111356 57221251 109895 - CNOT1
46835711 46944908 109197 + LONP2
24174376 24281238 106862 + CACNG3
52192190 52295259 103069 - KIAA1005
87468767 87570902 102135 - CBFA2T3
22733360 22835158 101798 + HS3ST2
19087138 19186055 98917 + SYT17
67328695 67426945 98250 + CDH1
45063166 45160510 97344 - FLJ43980
27709716 27806979 97263 - GSG1L
1500431 1597301 96870 - IFT140
415668 512481 96813 + RAB11FIP3
24838214 24934176 95962 - ARHGAP17
86193999 86289263 95264 + JPH3
66949732 67039905 90173 - SMPD3
27379569 27468775 89206 - GTF3C1
56475003 56562497 87494 - CNGB1
49139741 49226142 86401 + NKD1
85997363 86082966 85603 - ZCCHC14
66314505 66398056 83551 - RANBP10
21597335 21679370 82035 + OTOA
65206154 65288111 81957 - CMTM4
87047225 87128890 81665 + ZFPM1
22986867 23068092 81225 - USP31
70320415 70400477 80062 - AP1G1
70236354 70316105 79751 - PHLPPL
83291084 83370670 79586 + USP10
18902830 18981998 79168 + TMC7
88331459 88410555 79096 - FANCA
23221140 23300117 78977 + SCNN1B
66153964 66230588 76624 + CTCF
11978102 12054642 76540 + RUNDC2A
15651604 15726490 74886 + NDE1
54100454 54174650 74196 + AYTL1
16151490 16224815 73325 - ABCC6
31178811 31251691 72880 + ITGAM
65620550 65692457 71907 + CBFB
47130139 47201621 71482 - N4BP1
8894850 8964842 69992 - USP7
1143241 1211772 68531 + CACNA1H
46758322 46826589 68267 - ABCC11
20542181 20610079 67898 - ACSM1
10628861 10696303 67442 - TEKT5
83618910 83685327 66417 + KIAA0513
4614853 4680972 66119 + MGRN1
24765052 24830444 65392 + SLC5A11
79906075 79971441 65366 + GAN
2527970 2593189 65219 + PDPK1
277440 342465 65025 - AXIN1
2265883 2330595 64712 - ABCA3
23307464 23371991 64527 - COG7
1696221 1760318 64097 + MAPK8IP3
54952864 55016804 63940 - AMFR
46674384 46738182 63798 - ABCC12
11680443 11744149 63706 - TXNDC11
80626363 80689638 63275 + HSD17B2
14976486 15039687 63201 + KIAA0251
82644871 82708018 63147 - MBTPS1
1604901 1667908 63007 + CRAMP1L
84204424 84267311 62887 + KIAA0182
45672942 45735409 62467 - NETO2
14835143 14897514 62371 + NOMO1
18418683 18480935 62252 - NOMO3
18418683 18480935 62252 - NOMO2
4344545 4406572 62027 - CORO7
73304358 73366222 61864 - FA2H
87687824 87749670 61846 + LOC197322
87164344 87225756 61412 + NHN1
82995533 83055107 59574 + ATP2C2
3648039 3707514 59475 - TRAP1
65918247 65976602 58355 + LRRC36
86298919 86357043 58124 - KLHDC4
21518412 21576293 57881 + METTL9
68972809 69030492 57683 - ST3GAL2
52025900 52083060 57160 + RBL2
66614704 66670684 55980 + DUS2L
55684010 55739377 55367 + CPNE2
10430225 10484995 54770 + ATF7IP2
4872508 4927137 54629 - PPL
85920444 85974864 54420 - FBXO31
67236276 67290442 54166 + CDH3
70710499 70763525 53026 - PMFBP1
55777741 55830446 52705 + RSPRY1
83156706 83209170 52464 - COTL1
79829796 79882248 52452 + BCMO1
8799192 8850684 51492 + PMM2
27232751 27283599 50848 + IL4R
30391571 30442006 50435 + ITGAL
57055117 57105023 49906 + NDRG4
11443547 11493112 49565 - LOC400499
88102305 88151674 49369 + SPG7
15595745 15644510 48765 - KIAA0430
10533475 10582040 48565 - EMP2
69115201 69163701 48500 + SF3B3
86479125 86527613 48488 - CA5A
27321223 27369616 48393 + IL21R
55456642 55504850 48208 + SLC12A3
68705029 68752685 47656 + PDPR
24696069 24743697 47628 + TNRC6A
2078711 2125900 47189 - PKD1
45475808 45522699 46891 + GPT2
66902445 66948663 46218 + PRMT7
54248058 54293992 45934 + SLC6A2
20277992 20323534 45542 - PDILT
56211458 56256445 44987 + GPR56
66265940 66310720 44780 - GFOD2
56349631 56393909 44278 - KIFC3
4793205 4837285 44080 - N-PAC
31792660 31836127 43467 + ZNF267
11874039 11917309 43270 - GSPT1
87407643 87450885 43242 - GALNS
66029425 66072589 43164 - ATP6V0D1
20725333 20768487 43154 + LOC81691
84299074 84342190 43116 - C16orf74
69071977 69114938 42961 - COG4
88422407 88465228 42821 + SPIRE2
19375272 19417579 42307 + TMC5
20776897 20819161 42264 - DCUN1D3
19950543 19992530 41987 - GPR139
45171967 45212785 40818 - SHCBP1
45298948 45339722 40774 - MLCK
178970 219450 40480 - LUC7L
2038599 2078713 40114 + TSC2
56749314 56789283 39969 - CSNK2A2
65102150 65141816 39666 - TK2
86421130 86460601 39471 - SLC7A5
48657416 48696874 39458 + HEATR3
2901980 2941209 39229 + FLYWCH1
20455969 20495127 39158 - ACSM2
68016063 68055208 39145 + CYB5B
580179 619272 39093 + RAB40C
65701415 65739941 38526 + C16orf70
23521983 23560128 38145 - PALB2
64958063 64996189 38126 + CDH5
28472757 28510610 37853 + CCDC101
11549957 11587730 37773 - LITAF
88467519 88505287 37768 + TCF25
4686513 4724164 37651 - ANKS3
66855933 66893222 37289 + SLC7A6
68843797 68880913 37116 - AARS
83565572 83602642 37070 - ZDHHC7
56286226 56322867 36641 + CCDC135
22216241 22252842 36601 + POLR3E
67724047 67760424 36377 + CIRH1A
66484715 66521081 36366 + PSKH1
49288550 49324488 35938 + NOD2
55075798 55111696 35898 - BBS2
14634296 14670193 35897 + BFAR
3490963 3526584 35621 + CLUAP1
23440838 23476172 35334 - EARS2
20370424 20405619 35195 + LOC123876
82885901 82920950 35049 + WFDC1
68890572 68925230 34658 + DDX19B
56134101 56168599 34498 + GPR114
15061379 15095613 34234 - RRN3
23101540 23135701 34161 + SCNN1G
82559737 82593878 34141 + EFCBP2
4466446 4500348 33902 + HMOX2
56841363 56875233 33870 + CCDC113
70486946 70520407 33461 + KIAA0174
24458408 24491682 33274 + RBBP6
31312133 31345327 33194 + ITGAD
20682812 20715979 33167 + ACSM3
82736422 82769024 32602 + LRRC50
27143826 27176376 32550 - NSMCE1
30626079 30658555 32476 + SRCAP
11751943 11783909 31966 - ZC3H7A
69950126 69981836 31710 + CALB2
20328356 20359780 31424 + FLJ20581
224834 256119 31285 + ITFG3
4415882 4446774 30892 + DNAJA3
79567201 79597997 30796 - C16orf61
65312299 65343026 30727 - DYNC1LI2
67947035 67977374 30339 - TERF2
54394266 54424494 30228 - CES1
48879322 48909544 30222 + ADCY7
4842216 4872364 30148 + UBN1
21872109 21902169 30060 + UQCRC2
1435345 1465013 29668 - CLCN7
19442708 19472227 29519 + CP110
45251091 45280593 29502 - VPS35
2419440 2448856 29416 + CCNF
54437628 54466783 29155 - CES7
45393459 45422575 29116 - LOC388272
73263261 73292290 29029 - MLKL
3448078 3476953 28875 + FLJ14154
22264757 22293439 28682 - CDR2
55847509 55876072 28563 - TM4SF11
23560307 23588683 28376 + DCTN5
13921523 13949705 28182 + ERCC4
65394282 65422370 28088 - APPBP1
31274009 31301819 27810 + ITGAX
29790331 29818074 27743 - SEZ6L2
29739288 29766843 27555 + MVP
30876115 30903482 27367 + SETD1A
83068611 83095794 27183 - KIAA1609
57298537 57325641 27104 - GOT2
54070603 54097652 27049 + MMP2
517856 544635 26779 + SOLH
2672498 2699030 26532 + KCTD5
1823989 1850456 26467 - C16orf73
68938324 68964780 26456 + DDX19A
20699016 20725296 26280 - EXOD1
28797309 28823331 26022 + ATP2A1
19777795 19803652 25857 - GPRC5B
69045998 69071677 25679 + FUK
47965308 47990818 25510 + C16orf78
