START STOP SIZE STRAND GENE
145251476 147555734 2304258 + CNTNAP2
77291048 78727541 1436493 - MAGI2
68508969 69702505 1193536 + AUTS2
156831230 157879894 1048664 - PTPRN2
3114320 4078475 964155 + SDK1
109897060 110796298 899238 - IMMP2L
132395083 133207766 812683 + EXOC4
125672607 126477261 804654 - GRM8
39947814 40673597 725783 + C7orf10
13960484 14654128 693644 - DGKB
70692565 71321954 629389 - CALN1
36667206 37261696 594490 - ELMO1
70042439 70623235 580796 + WBSCR17
103563054 104141630 578576 + LHFPL3
88033403 88610997 577594 + ZNF804B
121553403 122120465 567062 - CADPS2
28112179 28638749 526570 + CREB5
34163273 34684434 521161 - AAA1
102706187 103223913 517726 - RELN
18308608 18810233 501625 + HDAC9
89983362 90484555 501193 + PFTK1
81224068 81717682 493614 - CACNA2D1
110962280 111440144 477864 - DOCK4
119507672 119984338 476666 + KCND2
32942413 33418920 476507 + BBS9
101052726 101520684 467958 + CUTL1
38819647 39277630 457983 + POU6F2
136531639 136988864 457225 - DGKI
126886184 127326609 440425 + SND1
1628668 2045824 417156 - MAD1L1
143586690 143970781 384091 - TPK1
15013182 15374880 361698 - FLJ16237
106436941 106798436 361495 - COG5
27643431 27993465 350034 - JAZF1
95046552 95372375 325823 + DYNC1I1
150691674 151011443 319769 - PRKAG2
8246824 8565830 319006 + NXPH1
29007565 29326169 318604 + CHN2
120222746 120531448 308702 + FLJ21986
107382057 107690734 308677 - NRCAM
50858118 51158705 300587 - COBL
151271503 151570699 299196 - MLL3
131926878 132224083 297205 - CHCHD3
82637872 82922975 285103 - SEMA3E
31602486 31884231 281745 - PDE1C
116187331 116464024 276693 + ST7
113649226 113924106 274880 + FOXP2
104350774 104623292 272518 - SRPK2
87208352 87471098 262746 + ADAM22
102047630 102308966 261336 - FBXL13
41776919 42036135 259216 - GLI3
43124601 43376178 251577 + HECW1
33717762 33968724 250962 + BMPER
38196545 38444260 247715 - AMPH
65905966 66148646 242680 + TYW1
83235140 83468560 233420 - SEMA3A
85917880 86138843 220963 + GRM3
34471136 34691184 220048 + NPSR1
36325848 36537265 211417 - AOAH
155975109 156185317 210208 - LMBR1
86777598 86987215 209617 - ABCB1
74808059 75012930 204871 - HIP1
50431974 50635367 203393 - GRB10
86902379 87104406 202027 + RPIB9
95394183 95596056 201873 - SLC25A13
26479928 26677581 197653 - SKAP2
10786755 10982482 195727 + PHF14
133921425 134112725 191300 + CALD1
138982135 139173186 191051 + TBXAS1
139887462 140077748 190286 - BRAF
116713967 116902666 188699 + CFTR
121107357 121296039 188682 + PTPRZ1
54860933 55049239 188306 + EGFR
38536783 38722040 185257 - VPS41
24609400 24793000 183600 - OSBPL3
80016505 80193318 176813 - SEMA3C
47587529 47761277 173748 - PKD1L1
76396584 76569170 172586 + KIAA1505
91214842 91384640 169798 + AKAP9
131626776 131790702 163926 - PLXNA4B
116944658 117107512 162854 - CTTNBP2
5432918 5594533 161615 - TRIAD3
86153888 86314182 160294 - KIAA1324L
23123068 23283235 160167 - IGF2BP3
53497410 53653833 156423 - FLJ45974
49754299 49910087 155788 - ZPBP
65114463 65269579 155116 + TPST1
28808492 28959353 150861 - CPVL
92698449 92848401 149952 - CALCR
73312770 73461561 148791 + GTF2IRD1
7926643 8075394 148751 - ICA1
45387360 45535952 148592 + ADCY1
136010653 136159026 148373 + CHRM2
134503807 134652106 148299 - CNOT4
35966103 36114386 148283 + KIAA1706
39763348 39908385 145037 + CDC2L5
128845547 128989805 144258 + NRF1
49590517 49729399 138882 + VWC2
2719023 2856711 137688 - CARD11
27338302 27475842 137540 - HIBADH
133269359 133406188 136829 + LRGUK
47087993 47224622 136629 - TNS3
111440593 111577035 136442 + ZNF277P
31330217 31466543 136326 + CCDC129
98120763 98255490 134727 + TRRAP
156431139 156561538 130399 + UBE3C
137016979 137144101 127122 - CREB3L2
92506303 92632988 126685 + CCDC132
84269521 84395898 126377 - SEMA3D
115906409 116032390 125981 + MET
137602333 137727585 125252 + TRIM24
139671403 139793760 122357 - DENND2A
23523132 23645371 122239 + STK31
129066945 129186740 119795 - UBE2H
106279128 106396206 117078 + PRKAR2B
77114147 77231190 117043 + PHTF2
158320342 158437125 116783 - VIPR2
98269714 98386374 116660 - SMURF1
73148455 73264915 116460 + CLIP2
136369349 136485801 116452 - PTN
2540980 2657200 116220 - GNA12
