START STOP SIZE STRAND GENE
57175599 58428232 1252633 - DAB1
6779649 7764029 984380 + CAMTA1
71583838 72460205 876367 - NEGR1
170860311 171684885 824574 + RABGAP1L
212184630 212985133 800503 - USH2A
242238685 242906752 668067 - SMYD3
33648701 34300536 651835 - CSMD2
213064982 213651371 586389 - ESRRG
237264911 237846519 581608 - RGS7
65970884 66551208 580324 + PDE4B
168542294 169113513 571219 + DNM3
76252424 76808653 556229 + ST6GALNAC3
50618955 51137957 519002 - FAF1
59474760 59940419 465659 + FLJ10986
8346722 8811790 465068 - RERE
48761561 49223406 461845 - AGBL4
182435339 182891736 456397 + HMCN1
207244949 207695852 450903 - KCNH1
238578312 239014039 435727 - PLD5
85906938 86334142 427204 - COL24A1
230347413 230766997 419584 + SLC35F3
228069295 228483751 414456 + DISC1
41644777 42053254 408477 - HIVEP3
63951734 64356728 404994 + ROR1
75384303 75788790 404487 - SLC44A5
107825831 108219580 393749 - VAV3
236581021 236964524 383503 + FMN2
192926569 193309156 382587 - KCNT2
186798453 187178416 379963 - FAM5C
174795286 175175212 379926 + RASAL2
173163963 173543625 379662 + PAPPA2
61260315 61634057 373742 + NFIA
61920169 62291943 371774 + INADL
3008900 3378340 369440 + PRDM16
69937878 70299947 362069 + LRRC7
239977575 240332594 355019 - AKT3
206890691 207238033 347342 + HHAT
107394786 107736517 341731 + NTNG1
223486787 223812561 325774 - CDC42BPA
178184372 178502370 317998 + CACNA1E
74413105 74722129 309024 + TNNI3K
20878280 21183182 304902 - EIF4G3
173561860 173865681 303821 - ASTN1
158771238 159069886 298648 + NOS1AP
180336876 180629322 292446 + RGL1
113645412 113937008 291596 + MAGI3
161260594 161547967 287373 + PBX1
92686275 92969982 283707 - EVI5
12224378 12506362 281984 + VPS13D
236118413 236398756 280343 + CHRM3
77459762 77737673 277911 + AK5
18179545 18450282 270737 + IGSF21
172645624 172908027 262403 - RFWD2
177332829 177587136 254307 + XPR1
44540052 44786489 246437 + C1orf164
239745516 239989128 243612 + SDCCAG8
181087806 181329812 242006 + C1orf21
199049492 199289354 239862 + PPP1R12B
214193089 214428879 235790 + SPATA17
165833428 166068844 235416 - NME7
62632417 62865990 233573 - DOCK7
29034243 29267574 233331 + EPB41
36935706 37168937 233231 - GRIK3
118208329 118439876 231547 - SPAG17
211567536 211798830 231294 + KCNK2
103055015 103286073 231058 - COL11A1
53683926 53911898 227972 - GLIS1
152119816 152345226 225410 - ASH1L
43842310 44065923 223613 + ST3GAL3
194253041 194475979 222938 - DENND1B
204588613 204805511 216898 - PLXNA2
65598338 65814843 216505 + LEPR
41161969 41376881 214912 - SCMH1
176989022 177203136 214114 - ACBD6
112030495 112243819 213324 - KCND3
66711985 66922788 210803 + SGIP1
193969064 194179241 210177 + CRB1
232150383 232356261 205878 - LYST
22782763 22987124 204361 + EPHB2
52320066 52524378 204312 + ZFYVE9
91860007 92063676 203669 - TGFBR3
213992228 214192804 200576 - GPATCH2
77045206 77241756 196550 + ST6GALNAC5
71030056 71225512 195456 - PTGER3
163921800 164116982 195182 + POU2F1
101980155 102174569 194414 - OLFM3
201529438 201723621 194183 + NFASC
210919405 211113037 193632 - PTPN14
158467741 158660510 192769 + ATF6
201217222 201409318 192096 + MDM4
81978102 82170127 192025 + LPHN2
175425956 175617499 191543 + RALGPS2
176066771 176255525 188754 + C1orf125
64683618 64870757 187139 + CACHD1
181491824 181675339 183515 - FAM129A
54404216 54584005 179789 - SSBP3
240950733 241129701 178968 + C1orf101
198349106 198526112 177006 + NAV1
48476297 48649865 173568 - SPATA6
51794784 51966157 171373 + OSBPL9
10205096 10375920 170824 + KIF1B
179949035 180119394 170359 - NMNAT2
100530067 100697853 167786 + CDC14A
25628104 25795084 166980 + MAN1C1
221981268 222147580 166312 - ENAH
51531955 51697016 165061 - EPS15
244426533 244590264 163731 + OR2L13
151492989 151655827 162838 - KCNN3
231656252 231817541 161289 - ARID4B
84255765 84416200 160435 + PRKACB
183529761 183689770 160009 + PLA2G4A
42311303 42469996 158693 - FOXJ3
176655780 176814172 158392 + CEP350
