START STOP SIZE STRAND GENE
40134806 41251971 1117165 - PTPRT
8061295 8813547 752252 + PLCB1
59260953 59945694 684741 + CDH4
51022352 51537218 514866 + TSHZ2
19141289 19651540 510251 + SLC24A3
9024931 9409460 384529 + PLCB4
19981195 20289349 308154 + C20orf26
9466036 9767522 301486 - PAK7
16200748 16502078 301330 - C20orf23
44956915 45250897 293982 + EYA2
17155630 17413223 257593 + PCSK2
57612997 57856161 243164 + PHACTR3
13318038 13558799 240761 - TASP1
39464583 39680547 215964 - CHD6
46674199 46877827 203628 - PREX1
24397834 24595167 197333 + C20orf39
3399675 3579760 180085 + ATRN
35755847 35933933 178086 + CTNNBL1
18516575 18692557 175982 + DTD1
52525672 52701116 175444 + DOK5
2792829 2967314 174485 + PTPRA
34428857 34590450 161593 + DLGAP4
4781001 4938939 157938 - SLC23A2
45564063 45719019 154956 + NCOA3
41978220 42131666 153446 + C20orf100
49441311 49592665 151354 - NFATC2
32414744 32562858 148114 + ITCH
45271787 45418881 147094 - ZMYND8
25381337 25514153 132816 - KIAA0980
45719558 45848215 128657 - SULF2
44619869 44746514 126645 - SLC13A3
51993923 52120490 126567 - BCAS1
39240502 39362153 121651 - ZHX3
34163761 34284135 120374 + EPB41L1
36867761 36985081 117320 + PPP1R16B
32612006 32728750 116744 - PIGU
5679042 5792556 113514 + C20orf196
43028533 43142005 113472 + STK4
19818209 19931100 112891 + RIN2
46971833 47083645 111812 + ARFGEF2
32766238 32877094 110856 - NCOA6
47421911 47532588 110677 - KCNB1
33353794 33463247 109453 - C20orf44
50133957 50241931 107974 - ZFP64
2465252 2570430 105178 + TMC2
36534899 36637124 102225 + KIAA1219
35059591 35157824 98233 - RBL1
25223379 25319454 96075 - ABHD12
55178961 55274708 95747 - BMP7
39090875 39186541 95666 + TOP1
34713582 34807895 94313 - NDRG3
59983249 60074261 91012 - TAF4
33053868 33144279 90411 - TRPC4AP
10147476 10236065 88589 + SNAP25
31613846 31701498 87652 + CBFA2T2
42593849 42681091 87242 + PKIG
21231941 21318463 86522 + XRN2
32045392 32131726 86334 + RALY
18312014 18395674 83660 - C20orf12
34839265 34921690 82425 - C20orf117
3861729 3944036 82307 - RNF24
48844873 48927120 82247 + BCAS4
30409820 30490783 80963 + ASXL1
47682888 47763745 80857 - B4GALT5
47862656 47942179 79523 + SLC9A8
44235782 44313741 77959 - CDH22
62266270 62344048 77778 + MYT1
37024413 37101777 77364 + DHX35
42173750 42249632 75882 - JPH2
47163467 47238311 74844 - STAU1
29922165 29996425 74260 + TTLL9
48560297 48634491 74194 + PTPN1
48131069 48203667 72598 - Kua-UEV
61502010 61574437 72427 - KCNQ2
56246380 56317901 71521 - PPP4R1L
56848189 56919640 71451 + GNAS
13642968 13713532 70564 - ESF1
57872013 57940604 68591 - SYCP2
17542744 17610721 67977 - RRBP1
5055481 5119987 64506 + CDS2
5475288 5539672 64384 - KIAA1434
47553819 47618114 64295 - PTGIS
55656859 55719947 63088 - TMEPAI
29790564 29853264 62700 + TPX2
35240887 35303437 62550 + RPN2
34019942 34082036 62094 + C20orf152
411337 472482 61145 - CSNK2A1
61846321 61907300 60979 - ZBTB46
35406501 35467233 60732 + SRC
31783468 31843736 60268 + ZNF341
34954058 35013590 59532 - SAMHD1
36095466 36154627 59161 + C20orf77
42813862 42872326 58464 - RIMS4
29715923 29774317 58394 - BCL2L1
60317515 60375763 58248 - LAMA5
13924318 13982313 57995 + C20orf133
56318176 56375968 57792 + RAB22A
56397650 56455367 57717 + VAPB
60246974 60304664 57690 + OSBPL2
7811630 7869093 57463 - HAO1
30329127 30386470 57343 + KIF3B
1491567 1548630 57063 - SIRPB1
41652992 41709276 56284 + IFT52
56467831 56523355 55524 - APCDD1L
29565901 29621029 55128 + HM13
57966876 58021562 54686 + CDH26
60810633 60864567 53934 + NTSR1
18436215 18489765 53550 + SEC23B
24934873 24987616 52743 - ACSS1
3036219 3088540 52321 - UBOX5
62082900 62134895 51995 + PRPF6
2309553 2361399 51846 + TGM6
32928035 32979423 51388 + ACSS2
47096244 47146891 50647 + CSE1L
18066526 18117016 50490 + CSRP2BP
36044837 36095247 50410 - KIAA0406
54477091 54527343 50252 + C20orf43
25176705 25226648 49943 + PYGB
30103717 30153316 49599 + HCK
41729122 41778536 49414 + MYBL2
1047244 1095971 48727 + PSMF1
6003492 6052191 48699 - C20orf42
30813851 30860822 46971 + DNMT3B
23303165 23350081 46916 - NAPB
54420770 54467243 46473 + C20orf32
2031518 2077196 45678 + STK35
1823424 1868535 45111 + SIRPA
2224674 2269725 45051 + TGM3
5879297 5923829 44532 + MCM8
801298 844960 43662 - ANGPT4
4708669 4752291 43622 - RASSF2
31862779 31905830 43051 + CHMP4B
1194959 1237969 43010 + SNPH
31410305 31452998 42693 - CDK5RAP1
35964919 36007159 42240 + C20orf102
12937846 12979666 41820 + SPTLC3
30754164 30795036 40872 - COMMD7
48940289 48980934 40645 - ADNP
44428097 44468678 40581 - ELMO2
61760090 61800495 40405 + RTEL1
48646921 48686833 39912 - C20orf175
4077449 4116369 38920 + SMOX
33677381 33716262 38881 - CPNE1
61996961 62035838 38877 + DNAJC5
60152216 60190961 38745 + SS18L1
7909715 7948393 38678 - TXNDC13
33754944 33793607 38663 - RBM39
39199574 39237771 38197 + PLCG1
17498598 17536651 38053 + DSTN
17422550 17459974 37424 - BFSP1
36190279 36227114 36835 - TGM2
30498329 30534849 36520 - C20orf112
10566333 10602590 36257 - JAG1
31459423 31495359 35936 - SNTA1
17628604 17664515 35911 + C20orf179
11819476 11855243 35767 + BTBD3
48131069 48165901 34832 - UBE2V1
3818061 3852501 34440 + PANK2
30184475 30218720 34245 + TM9SF4
17952795 17986521 33726 - OVOL2
34674339 34707972 33633 - SLA2
36365998 36399319 33321 + BPI
42309321 42342427 33106 + GDAP1L1
61006799 61039898 33099 - DIDO1
13713694 13746448 32754 + C20orf7
61689398 61721673 32275 - GMEB2
42681577 42713790 32213 - ADA
47295847 47328009 32162 - ZNFX1
33166830 33198804 31974 - EDEM2
25983290 26015193 31903 + C20orf91
5934878 5966037 31159 + CRLS1
25124371 25155360 30989 + ENTPD6
44091244 44122196 30952 + SLC12A5
30259356 30290127 30771 + POFUT1
36408298 36439067 30769 + LBP
33720024 33750688 30664 - NFS1
30019465 30049916 30451 + XKR7
30871434 30901865 30431 + MAPRE1
42463337 42493444 30107 + HNF4A
48173713 48203667 29954 - Kua
60744241 60774092 29851 + SLCO4A1
24891580 24921425 29845 - C20orf3
44123034 44151987 28953 - NCOA5
31134415 31163217 28802 + C20orf186
1557797 1586402 28605 - SIRPG
18217156 18245638 28482 + ZNF133
56659733 56687986 28253 + STX16
43613204 43641379 28175 - WFDC8
32896183 32924318 28135 - GGTL3
61809834 61837938 28104 + ZGPAT
55505629 55533560 27931 - CTCFL
4149815 4177659 27844 - ADRA1D
35351464 35379075 27611 + MANBAL
41576487 41603949 27462 + L3MBTL
32979897 33007262 27365 - GSS
2410466 2437778 27312 - ZNF343
17870245 17897490 27245 - SNX5
33026866 33053897 27031 + MYH7B
364125 391147 27022 - TBC1D20
55360024 55386925 26901 + RAE1
31334601 31361345 26744 + C20orf114
10333832 10360570 26738 - MKKS
44771685 44798390 26705 + SLC2A10
41621099 41647686 26587 + SGK2
61967033 61993332 26299 + TPD52L2
2769372 2795377 26005 + VPS16
1370810 1396417 25607 - NSFL1C
57308893 57334441 25548 + EDN3
47269290 47294019 24729 + DDX27
32567864 32592422 24558 + DYNLRB1
60918831 60942955 24124 + COL9A3
1297622 1321745 24123 - FKBP1A
36810510 36834247 23737 + ACTR5
48984811 49008467 23656 - DPM1
44010699 44034240 23541 - ZNF335
1462898 1486343 23445 - SIRPD
43669991 43693321 23330 - WFDC9
43387343 43410478 23135 - SDC4
32331736 32354784 23048 - AHCY
54377851 54400758 22907 - AURKA
336755 359610 22855 + RBCK1
42561314 42584140 22826 - SERINC3
32140897 32163715 22818 - EIF2S2
42947757 42970574 22817 + YWHAB
25602851 25625469 22618 - ZNF337
17897761 17919759 21998 + C20orf72
30061913 30083641 21728 + C20orf160
9963696 9985405 21709 + ANKRD5
34813861 34835563 21702 - DSN1
19963011 19984690 21679 - CRNKL1
43710615 43732292 21677 - WFDC11
43919668 43941174 21506 + ZSWIM3
30638941 30660353 21412 + LOC149950
61297228 61317983 20755 - YTHDF1
31035242 31055900 20658 - SPAG4L
60942912 60963560 20648 - TCFL5
52203394 52223931 20537 - CYP24A1
62181931 62202440 20509 + OPRL1
34287860 34308267 20407 + C20orf4
3661355 3681758 20403 + HSPA12B
43746703 43767072 20369 - WFDC10B
34635436 34655764 20328 + TGIF2
62357564 62377837 20273 + PCMTD2
199523 219390 19867 - C20orf96
28225539 28245212 19673 + MGC72104
43853982 43873471 19489 + DNTTIP1
1238622 1257826 19204 - SDCBP2
60397083 60415728 18645 - CABLES2
3617206 3635775 18569 - SIGLEC1
49833991 49852421 18430 - SALL4
43004185 43022528 18343 - TOMM34
31106890 31125095 18205 + C20orf185
34937983 34956046 18063 + C20orf118
43836253 43853954 17701 - WFDC3
47986320 48003827 17507 + ZNF313
31708554 31725923 17369 - APBA2BP
60418687 60435984 17297 - C20orf151
18396032 18413284 17252 + POLR3F
58064374 58081403 17029 + C20orf197
61374609 61391587 16978 + ARFGAP1
309307 326201 16894 + TRIB3
55612309 55628935 16626 - ZBP1
19945936 19962550 16614 + NAT5
62041634 62058212 16578 - UCKL1
31059067 31075176 16109 + BPIL1
51617018 51633043 16025 - ZNF217
33700294 33716252 15958 - RBM12
9443270 9459171 15901 + C20orf103
43903767 43919442 15675 - ACOT8
33593191 33608818 15627 + ERGIC3
1907402 1922702 15300 - PDYN
62158882 62174144 15262 + TCEA2
30243967 30259192 15225 - PLAGL2
4615068 4630233 15165 + PRNP
29871044 29886153 15109 + MYLK2
44411583 44426471 14888 - SLC35C2
42537960 42552626 14666 + C20orf121
590240 604823 14583 - SCRT2
3138055 3152504 14449 + ITPA
49058623 49073024 14401 - KCNG1
42258549 42272845 14296 - C20orf111
3119012 3133295 14283 - C20orf116
42399039 42413289 14250 + R3HDML
55338237 55352455 14218 + SPO11
3596620 3610738 14118 - ADAM33
56989705 57003581 13876 + TH1L
5840167 5854003 13836 + CHGB
61342583 61356335 13752 - C20orf58
61741504 61755224 13720 - STMN3
14252642 14266270 13628 - FLRT3
31758175 31771764 13589 - PXMP4
32598352 32611810 13458 + MAP1LC3A
29428628 29442067 13439 - DEFB119
43960803 43974193 13390 - PLTP
3075166 3088532 13366 - FASTKD5
43996723 44010067 13344 + C20orf67
31219620 31232884 13264 + C20orf70
5969423 5982676 13253 - C20orf75
5028488 5041733 13245 - C20orf30
62058498 62071662 13164 - GM632
5866485 5879173 12688 - CGI-09
42777298 42789865 12567 + WISP2
44563115 44575601 12486 - ZNF334
60471948 60484421 12473 - GATA5
31083114 31095514 12400 + BPIL3
5230685 5243015 12330 - PROKR2
43355500 43367645 12145 - MATN4
47953337 47965475 12138 - SPATA2
57003634 57015680 12046 - CTSZ
52257908 52269898 11990 + PFDN4
43531807 43543585 11778 + WFDC2
5043598 5055268 11670 - PCNA
54401025 54412514 11489 + CSTF1
16658628 16670037 11409 + SNRPB2
60131587 60142908 11321 + LSM14B
61589809 61600949 11140 - EEF1A2
44180312 44191337 11025 + CD40
43368904 43379876 10972 + RBPSUHL
31727149 31737854 10705 - E2F1
18415189 18425887 10698 - RBBP9
24877865 24888562 10697 + CST7
6697206 6707769 10563 + BMP2
35579233 35589717 10484 - BLCAP
31268818 31279218 10400 + C20orf71
61039885 61050270 10385 + C20orf11
3724400 3734759 10359 + CDC25B
3156063 3166373 10310 - SLC4A11
