START STOP SIZE STRAND GENE
31993616 32640964 647348 - LARGE
31233093 31727237 494144 - SYN3
45479067 45890241 411174 + TBC1D22A
24462673 24751561 288888 + MYO18B
42249554 42533019 283465 - FLJ23588
39130791 39357190 226399 - MKL1
29415418 29628361 212943 + OSBP2
24890033 25100988 210955 + SEZ6L
45077249 45253586 176337 - CELSR1
44388223 44561366 173143 + ATXN10
42720073 42890002 169929 + PARVB
22732318 22899150 166832 + CABIN1
24285499 24444470 158971 + ADRBK2
30474622 30627554 152932 + DEPDC5
38463549 38614294 150745 - ENTHD1
43431005 43579199 148194 + LOC553158
22991419 23137775 146356 + SPECC1L
41590274 41735649 145375 - PACSIN2
28603752 28748423 144671 + MTMR3
41924495 42063785 139290 - SCUBE1
35284603 35423403 138800 - CACNG2
21847105 21982690 135585 + BCR
19386544 19517555 131011 - PIK4CA
43597578 43726118 128540 - PHF21B
30216814 30339087 122273 + SFI1
38291257 38410238 118981 + CACNA1I
35001826 35108481 106655 - MYH9
49071903 49173658 101755 + SAPS2
17692777 17793773 100996 - HIRA
20447885 20546524 98639 - MAPK1
44219255 44317551 98296 + FBLN1
34464148 34560928 96780 - RBM9
28801006 28897614 96608 + HORMAD2
28324118 28419137 95019 + NF2
16496038 16586541 90503 + BCL2L13
39813106 39900578 87472 + EP300
17398354 17484458 86104 - DGCR2
21726147 21808795 82648 - RTDR1
19186439 19266472 80033 + PCQAP
40553605 40626873 73268 + SREBF2
48830950 48902572 71622 + MOV10L1
39577593 39648378 70785 + XPNPEP3
38621585 38691884 70299 + GRAP2
36832002 36902261 70259 - PLA2G6
27793659 27863040 69381 + KREMEN1
29932803 30000618 67815 + LIMK2
26572211 26639809 67598 - PITPNB
30763812 30831199 67387 + SLC5A1
18150493 18217016 66523 - GNB1L
18237599 18304069 66470 - TXNRD2
31521361 31583581 62220 + TIMP3
28048222 28109123 60901 - AP1B1
41517029 41577798 60769 - ARFGAP3
43393473 43454098 60625 + PRR5
40189628 40249492 59864 + ACO2
40022066 40080651 58585 + ZC3H7B
20246510 20302877 56367 + UBE2L3
23439554 23495237 55683 - PIWIL3
40880516 40935943 55427 - TCF20
21737222 21791775 54553 + GNAZ
19120359 19174676 54317 - KLHL22
27408284 27462376 54092 - CHEK2
45400826 45454671 53845 - CERK
36939804 36993496 53692 - C22orf5
27926506 27980140 53634 + EMID1
26468819 26522040 53221 - MN1
48487798 48539313 51515 - BRD1
37239453 37290689 51236 - DMC1
30159908 30210258 50350 - EIF4ENIF1
41760142 41809927 49785 - TTLL1
39490136 39539892 49756 - SLC25A17
28509155 28558808 49653 - ASCC2
41103470 41152894 49424 - NFAM1
43908659 43957187 48528 - C22orf9
34020414 34068527 48113 + TOM1
22453703 22501258 47555 + SMARCB1
18331972 18378863 46891 - ARVCF
29880732 29927554 46822 + RNF185
28228710 28274198 45488 - THOC5
18383184 18428001 44817 + C22orf25
20151842 20196334 44492 - LOC220686
31134843 31177927 43084 - BPIL2
40341794 40384552 42758 + XRCC6
49485657 49528078 42421 + MGC70863
29647153 29688741 41588 - MORC2
42676201 42717312 41111 + SAMM50
17841969 17882688 40719 + CDC45L
39966115 40006716 40601 - RANGAP1
16591459 16631812 40353 - BID
39091094 39130793 39699 + RUTBC3
25246269 25285924 39655 - TPST2
36569869 36609137 39268 + EIF3S6IP
33978042 34016353 38311 + HMG2L1
20376381 20414625 38244 - YPEL1
35785978 35824193 38215 - TMPRSS6
42545289 42583257 37968 - SULT4A1
38120258 38157632 37374 + MAP3K7IP1
30939018 30975873 36855 - SLC5A4
45013330 45050112 36782 + GTSE1
16449478 16486089 36611 - ATP6V1E1
30396795 30433285 36490 - C22orf30
19596267 19632443 36176 + CRKL
28451499 28487523 36024 - ZMAT5
36626845 36662525 35680 + MICALL1
38070453 38106080 35627 + SYNGR1
29012533 29047448 34915 - TBC1D10A
30120092 30154725 34633 + DRG1
48568389 48602951 34562 + ZBED4
20096246 20130302 34056 + HIC2
20598346 20631771 33425 - PPM1F
36002923 36035880 32957 + PSCD4
25171999 25204374 32375 - HPS4
27988836 28021059 32223 + EWSR1
39545102 39577187 32085 - ST13
20344863 20376713 31850 + PPIL2
18442387 18473952 31565 + DGCR8
23215804 23247106 31302 + UPB1
41304224 41335460 31236 - POLDIP3
44026351 44057180 30829 + FAM118A
16034747 16065333 30586 - CECR1
41339318 41369877 30559 - CYB5R3
16417736 16448201 30465 + SLC25A18
40719291 40748975 29684 + WBP2NL
17812394 17841280 28886 - UFD1L
37146831 37175703 28872 - KCNJ4
36210900 36239710 28810 - CARD10
41412625 41441374 28749 - A4GALT
22523612 22551944 28332 + SLC2A11
36466747 36495016 28269 + TRIOBP
49175379 49203598 28219 - SBF1
15992964 16020731 27767 - CECR5
17007311 17034714 27403 + USP18
48958574 48985857 27283 - TUBGCP6
18303862 18331084 27222 + COMT
29117486 29144382 26896 + SEC14L2
18118779 18145664 26885 + TBX1
18603493 18630370 26877 - RTN4R
37011197 37037913 26716 - CSNK1E
28275353 28301880 26527 - NIPSNAP1
37426468 37452744 26276 + GTPBP1
39925812 39951774 25962 + L3MBTL2
48800276 48826195 25919 - MLC1
34860876 34886725 25849 - APOL3
20635957 20661701 25744 - TOP3B
36805409 36831152 25743 - BAIAP2L2
42901757 42927435 25678 + PARVG
44802401 44828037 25636 + FLJ27365
40521177 40546803 25626 + CCDC134
37538956 37564517 25561 - NPTXR
15940411 15965941 25530 + IL17RA
22940192 22965582 25390 - GGTLA1
36329002 36354070 25068 + GGA1
29052532 29077467 24935 - SF3A1
22128827 22153721 24894 - LOC388882
21163322 21188059 24737 - SUHW2
31108122 31132787 24665 - C22orf28
34120681 34145048 24367 + MCM5
31195263 31219369 24106 + FBXO7
35846381 35870462 24081 - IL2RB
22275193 22299041 23848 - LOC51233
42644519 42668349 23830 + PNPLA3
17274848 17298620 23772 - PRODH
29801858 29825163 23305 + SMTN
37203942 37226816 22874 - DDX17
45051840 45073755 21915 + TRMU
37851280 37873038 21758 - CBX7
39671884 39693168 21284 + RBX1
37944218 37965490 21272 - PDGFB
33786683 33807932 21249 + ISX
40697495 40718723 21228 + SEPT3
37455234 37476447 21213 - UNC84B
43880262 43901242 20980 + NUP50
16968112 16989052 20940 + TUBA8
25212450 25232991 20541 - TFIP11
41887126 41907605 20479 - TTLL12
41274422 41294886 20464 + SERHL2
30046343 30066803 20460 - PATZ1
38730191 38750543 20352 + FAM83F
39067062 39087251 20189 + ADSL
40321435 40341416 19981 - D15Wsu75e
29327714 29347601 19887 + TCN2
21812066 21831085 19019 + RAB36
35945811 35964805 18994 - RAC2
41831254 41850215 18961 + BIK
35208795 35227569 18774 - FOXRED2
35521245 35540017 18772 - PVALB
19781858 19800627 18769 + FLJ42953
44130116 44148839 18723 + RIBC2
25319915 25338545 18630 - CRYBB1
35231397 35249983 18586 - EIF3S7
36777902 36796207 18305 + PICK1
48735398 48753512 18114 - FLJ41993
35478754 35496614 17860 - RABL4
40102462 40119828 17366 + TEF
36189602 36206885 17283 - MFNG
37377157 37394353 17196 + CBY1
35581544 35598558 17014 + NCF4
23276171 23293063 16892 + SNRPD3
29209453 29226236 16783 - SEC14L4
19661209 19677879 16670 + LZTR1
35711672 35728339 16667 - C22orf33
48941864 48958501 16637 + SELO
35642721 35659318 16597 + CSF2RB
34327310 34343901 16591 - MB
27493260 27509832 16572 + CCDC117
19724823 19741119 16296 + LOC400891
19643987 19660203 16216 + AIFM3
49496063 49512231 16168 - RABL2B
38222783 38238636 15853 + SMCR7L
37499013 37514661 15648 - DNAL4
27462596 27478048 15452 + HSCB
37188582 37203945 15363 + KDELR3
29297166 29312448 15282 - PES1
48617716 48632967 15251 - ALG12
20151993 20167231 15238 - LOC375133
49236831 49252044 15213 + NCAPH2
40394437 40409413 14976 - NHP2L1
23260963 23275829 14866 - C22orf13
36361877 36376545 14668 + SH3BP1
37406126 37420769 14643 - JOSD1
35187592 35202187 14595 - TXN2
18493918 18508512 14594 + ZDHHC8
36922497 36937012 14515 + MAFF
34973623 34988077 14454 + APOL1
25149855 25164125 14270 + ASPHD2
36674217 36688306 14089 + POLR2F
34946754 34960500 13746 - APOL2
19694002 19707673 13671 + P2RXL1
48926816 48940484 13668 + TRABD
16935242 16948790 13548 + PEX26
40153991 40167527 13536 - TOB2
19073031 19086524 13493 + ZNF74
36551362 36564803 13441 - ANKRD54
19103428 19116700 13272 - SCARF2
37761172 37774414 13242 + APOBEC3F
30665032 30678143 13111 + YWHAH
34101640 34114748 13108 + HMOX1
40297411 40310313 12902 - PMM1
29179772 29192571 12799 - SEC14L3
34261851 34274543 12692 + RASD2
40778884 40791273 12389 - NAGA
30339034 30351364 12330 - PISD
42600459 42612758 12299 - PNPLA5
36692819 36705039 12220 - SOX10
41221093 41233064 11971 + SERHL
22057346 22069296 11950 - FLJ31568
35772115 35783930 11815 + KCTD17
29843514 29855236 11722 + PIB5PA
41872050 41883746 11696 + TSPO
34438418 34450030 11612 + APOL5
21214677 21226250 11573 - PRAME
28440897 28452372 11475 + CABP7
22439589 22451056 11467 + MMP11
28200772 28211829 11057 + NEFH
30002133 30013028 10895 - MGC17330
44001425 44012291 10866 + UPK3A
29356866 29367660 10794 + SLC35E4
17496005 17506716 10711 - DGCR14
37797635 37808247 10612 + APOBEC3G
46337310 46347837 10527 - FLJ46257
41853385 41863894 10509 - MCAT
23941938 23952378 10440 + CRYBB2
37702904 37713283 10379 + APOBEC3B
29275177 29285430 10253 - GAL3ST1
35740201 35750362 10161 + MPST
36664032 36674103 10071 - C22orf23
36290753 36300524 9771 - LGALS2
30870074 30879797 9723 - LOC150297
18479577 18489258 9681 + RANBP1
49297433 49307022 9589 - CPT1B
48911646 48921176 9530 + PANX2
22408326 22417833 9507 - ZNF70
23153645 23162878 9233 + ADORA2A
40180221 40189208 8987 - PHF5A
36528454 36537403 8949 + GCAT
36280999 36289908 8909 + CDC42EP1
18076540 18085396 8856 + SEPT5
48633204 48642035 8831 + CRELD2
48993787 49002546 8759 - MAPK12
25342481 25351186 8705 + CRYBA4
18208222 18216893 8671 - C22orf29
35731406 35739991 8585 - TST
29099358 29107856 8498 - LOC200312
22638114 22646573 8459 - DDT
40659241 40667648 8407 - CENPM
22357601 22365917 8316 + Rgr
36379237 36387439 8202 + PDXP
34347539 34355682 8143 - LOC284912
35900705 35908830 8125 - C1QTNF6
22700694 22708785 8091 - GSTT1
27980397 27988468 8071 - RHBDD3
25204399 25212451 8052 + LOC402055
37584749 37592758 8009 - CBX6
48263189 48270982 7793 + FLJ44385
44972078 44979738 7660 - PKDREJ
22901997 22909628 7631 + SUSD2
40411046 40418640 7594 + FLJ23584
36088500 36096079 7579 - LRRC62
23920378 23927878 7500 + CRYBB3
23306156 23313594 7438 - C22orf36
41233072 41240306 7234 - CGI-96
22239865 22247049 7184 - IGLL1
36406866 36413978 7112 + NOL12
49466790 49473870 7080 + ACR
38033389 38040128 6739 - RPL3
37817789 37824500 6711 + APOBEC3H
49004599 49011236 6637 - MAPK11
21192615 21199167 6552 - SUHW1
28960996 28967302 6306 - LIF
44960429 44966712 6283 - LOC150383
48986071 48992271 6200 - HDAC10
35926744 35932853 6109 - SSTR3
27515102 27521114 6012 - XBP1
19687051 19692988 5937 - MGC16703
29382592 29388426 5834 - DUSP18
18676355 18682162 5807 - DGCR6L
17268345 17274146 5801 + DGCR6
28027550 28033328 5778 + GAS2L1
29855346 29861023 5677 - PLA2G3
37678122 37683688 5566 + APOBEC3A
43208986 43214542 5556 - LDOC1L
18473951 18479322 5371 - HTF9C
40806030 40811388 5358 - NDUFA6
40794754 40799941 5187 + FAM109B
36798644 36803649 5005 - SLC16A8
15971743 15976697 4954 - CECR6
49231523 49236257 4734 - TMEM112B
49210351 49215008 4657 + ADM2
40800198 40804787 4589 + C22orf32
37734764 37739323 4559 + APOBEC3C
20311639 20316169 4530 + CCDC116
22501245 22505755 4510 - DERL3
40847000 40851379 4379 - CYP2D6
17805452 17809774 4322 - LOC128977
49254324 49258599 4275 - ECGF1
36396142 36400307 4165 + LGALS1
29642949 29647091 4142 + C22orf27
23655761 23659868 4107 - bA9F11.1
28983374 28987394 4020 - OSM
49307530 49311538 4008 - CHKB
28159125 28162998 3873 + RFPL1
22646877 22650652 3775 + GSTT2
38249598 38253360 3762 - RPS19BP1
44766857 44770543 3686 - C22orf26
39399736 39403318 3582 + MCHR1
17794589 17798148 3559 + MRPL40
49215356 49218894 3538 + MIOX
19379955 19383445 3490 + DKFZp434N035
29146273 29149595 3322 + MTP18
31078407 31081702 3295 + RFPL3
27779213 27782461 3248 - C22orf31
17537648 17540839 3191 - SLC25A1
49353599 49356720 3121 - ARSA
43285755 43288866 3111 + LOC388910
28487911 28490956 3045 + UCRC
30910979 30914020 3041 - RFPL2
22429761 22432601 2840 + C22orf15
28033475 28036302 2827 - RASL10A
37402453 37405263 2810 + TOMM22
29825316 29828105 2789 - SELM
39580052 39582630 2578 - DNAJB7
19678614 19680958 2344 - THAP7
17885103 17887414 2311 - CLDN5
24038441 24040745 2304 + LOC91353
46857319 46859613 2294 + LOC388915
28748776 28751048 2272 + LOC400924
38241068 38243191 2123 + ATF4
22432575 22434695 2120 - C22orf16
36543888 36546002 2114 + GALR3
49276605 49278685 2080 + KLHDC7B
15446203 15448254 2051 - CESK1
20321095 20323142 2047 + SDF2L1
49252142 49254116 1974 - SCO2
40645535 40647282 1747 - TNFRSF13C
22419487 22421146 1659 - VPREB3
21313333 21314922 1589 + GGTL4
17493343 17494690 1347 + TSSK2
