START STOP SIZE STRAND GENE
116267060 117256871 989811 - ASTN2
27938527 28709303 770776 - LINGO2
8307267 9008737 701470 - PTPRD
70379521 70966068 586547 - TRPM3
123221486 123771971 550485 - DENND1A
98129920 98551034 421114 - GABBR2
15543096 15961897 418801 + C9orf93
6748082 7165647 417565 + JMJD2C
109622143 110014344 392201 + PALM2-AKAP2
94568548 94928995 360447 + C9orf3
84514246 84866963 352717 + NTRK2
20648308 20985954 337646 + KIAA1797
3817676 4142183 324507 - GLIS3
72366270 72680821 314551 + TMC1
16406401 16717995 311594 - BNC2
77564746 77875746 311000 - GNAQ
126756606 127064997 308391 + RALGPS1
68550169 68853645 303476 + PIP5K1B
75735174 76037889 302715 + PCSK5
3214648 3515983 301335 - RFX3
100870585 101166971 296386 + PRG-3
92167295 92456990 289695 + CENPP
20334967 20612450 277483 - MLLT3
121663845 121935117 271272 - TTLL11
19505977 19776926 270949 - SLC24A2
125279226 125549067 269841 - MAPKAP1
17226567 17493920 267353 + C9orf39
114983650 115244477 260827 + DEC1
18464166 18713262 249096 + ADAMTSL1
124364256 124613130 248874 - NR6A1
115995624 116244153 248529 + PAPPA
138048077 138292468 244391 + CACNA1B
35152058 35395331 243273 + UNC13B
69274755 69516776 242021 - APBA1
77021914 77261953 240039 + VPS13A
37110632 37348143 237511 + ZCCHC7
133656570 133886959 230389 - VAV2
91564438 91791999 227561 - ROR2
14077372 14303719 226347 - NFIB
77268102 77492777 224675 - GNA14
131765052 131984807 219755 - CRSP8
125589286 125808921 219635 + PBX3
94940890 95159546 218656 - FANCC
17569193 17787120 217927 + SH3GL2
39062765 39278300 215535 - CNTNAP3
27315207 27519850 204643 - MOBKL2B
119008461 119211255 202794 - DBC1
99941065 100142981 201916 + INVS
134759596 134960684 201088 + COL5A1
36828530 37024476 195946 - PAX5
263047 455252 192205 + DOCK8
120230701 120421991 191290 - CDK5RAP2
124794620 124985329 190709 - C9orf126
74341805 74531669 189864 + RORB
69888073 70071444 183371 + MAMDC2
126168681 126348873 180192 + FAM125B
2005341 2183624 178283 + SMARCA2
14727154 14900993 173839 - FREM1
130618821 130792614 173793 + ABL1
112328802 112502261 173459 + KIAA1958
68201368 68374205 172837 + PGM5
101411189 101580417 169228 - GRIN3A
88857624 89023236 165612 - SHC3
74566964 74732564 165600 - TRPM6
110715610 110879920 164310 - EDG2
122782870 122946250 163380 + RABGAP1
132315164 132478229 163065 + FLJ46082
109622273 109785306 163033 + PALM2
131481710 131642479 160769 - RAPGEF1
129729019 129884981 155962 - FNBP1
79416431 79571210 154779 + TLE4
113997784 114152529 154745 + COL27A1
132630518 132783752 153234 - C9orf98
106704932 106853344 148412 + ZNF462
91055663 91203730 148067 - AUH
104622837 104769991 147154 - ABCA1
105086662 105233235 146573 + SLC44A1
13096575 13240357 143782 - MPDZ
122966873 123110397 143524 - STRBP
4975244 5117995 142751 + JAK2
