START STOP SIZE STRAND GENE
93582985 95050827 1467842 + GRID2
20407313 21626643 1219330 - KCNIP4
162662653 163442791 780138 - FSTL5
151543417 152294254 750837 - LRBA
81614052 82242079 628027 + C4orf22
98837211 99421569 584358 - MGC46496
62191604 62766933 575329 + LPHN3
7312543 7862634 550091 + SORCS2
91513359 92060333 546974 + MGC48628
53580079 54073170 493091 - SCFD2
110092575 110581403 488828 - COL25A1
5171598 5620797 449199 + STK32B
87294810 87731462 436652 - MAPK10
140996585 141432838 436253 - MAML3
169792946 170224296 431350 + PALLD
30398305 30821017 422712 + PCDH7
143307498 143710137 402639 - INPP4B
40657166 41057416 400250 - APBB2
16179434 16576596 397162 - LDB2
96036305 96433254 396949 + BMPR1B
46874506 47269373 394867 + GABRB1
124201833 124593407 391574 + SPATA5
96446866 96827340 380474 - UNC5C
186883307 187252671 369364 - SORBS2
19931503 20297057 365554 + SLIT2
149357524 149721128 363604 - NR3C2
66018411 66364275 345864 - EPHA5
77713431 78058121 344690 + SHROOM3
149011057 149351531 340474 + ARHGAP10
41203731 41541938 338207 + DKFZP686A01247
114328473 114662489 334016 + ANK2
90004283 90335501 331218 - FAM13A1
102301764 102625531 323767 - PPP3CA
114731176 115040332 309156 - CAMK2D
85947873 86244723 296850 - WDFY3
73511721 73799551 287830 - ADAMTS3
116106534 116392636 286102 - NDST4
103069073 103353073 284000 + BANK1
44017200 44291752 274552 - KCTD8
107324843 107594989 270146 - MGC16169
142144329 142412221 267892 - RNF150
37715285 37963360 248075 + TBC1D1
42255562 42499818 244256 - ATP8A1
47436945 47680987 244042 - CORIN
147985789 148224591 238802 - TTC29
72569851 72802834 232983 + SLC4A4
167152014 167382598 230584 + TLL1
121973534 122201618 228084 - PRDM5
119313102 119534619 221517 + NDST3
87873063 88093481 220418 + PTPN13
170689158 170908344 219186 - NEK1
95730215 95946554 216339 + PDLIM5
9504117 9718141 214024 - SLC2A9
153600015 153813777 213762 - FBXW7
158040368 158250151 209783 - PDGFC
130162991 130372367 209376 - SCLT1
10168106 10362758 194652 - MIST
8085111 8278609 193498 - ABLIM2
99750580 99936905 186325 - TSPAN5
175938939 176125108 186169 - GLRA3
74305536 74489537 184001 - ANKRD17
99539797 99720993 181196 + RAP1GDS1
176929237 177109331 180094 - GPM6A
75354025 75533847 179822 + MTHFD2L
17521112 17699645 178533 - LCORL
35890187 36068545 178358 - CENTD1
147039494 147217187 177693 - LOC152485
170390139 170566895 176756 - SH3RF1
120167598 120340005 172407 + SYNPO2
26261974 26433071 171097 + TBC1D19
154745156 154915465 170309 + KIAA0922
3113411 3282656 169245 + HD
