START STOP SIZE STRAND GENE
67349937 69125933 1775996 - CTNNA3
52504298 53725280 1220982 + PRKG1
55250865 56231057 980192 - PCDH15
100208864 100985609 776745 - HPSE2
77212524 77987130 774606 + C10orf11
78299367 79067583 768216 - KCNMA1
87349291 88116230 766939 - GRID1
34440102 35143929 703827 - PARD3
13725717 14412889 687172 - FRMD4A
106390848 107014983 624135 + SORCS3
108323411 108914282 590871 - SORCS1
75580970 76139066 558096 + ADK
1218072 1769670 551598 - ADARB2
12431588 12911737 480149 + CAMK1D
20145377 20609121 463744 + PLXDC2
25504295 25928513 424218 + GPR158
311431 725606 414175 - DIP2C
18469611 18870044 400433 + CACNB2
21114603 21503122 388519 - NEBL
127693830 128067014 373184 - ADAM12
61458164 61819494 361330 - ANK3
37454790 37793655 338865 + ANKRD30A
24538098 24876777 338679 + KIAA1217
35575958 35898672 322714 + CCNY
51735351 52053743 318392 - TMEM23
11100075 11416358 316283 + CUGBP2
32896656 33211796 315140 + C10orf68
90023600 90332988 309388 - C10orf59
16906543 17211796 305253 - CUBN
63803956 64101777 297821 + ZNF365
114197005 114487522 290517 + VTI1A
29786282 30064736 278454 - SVIL
26263201 26541461 278260 + MYO3A
123738678 124004045 265367 + TACC2
105343773 105605154 261381 - SH3PXD2A
14600564 14856902 256338 - FAM107B
116180859 116434404 253545 - ABLIM1
72826696 73076543 249847 + CDH23
97061520 97311125 249605 - SORBS1
120957186 121205120 247934 + GRK5
22085512 22332476 246964 - DNAJC1
93798378 94040824 242446 - CPEB3
28382995 28611021 228026 - MPP7
16672622 16899459 226837 - RSU1
94584449 94809240 224791 + EXOC6
132780645 132999974 219329 - TCERG1L
114700200 114916058 215858 + TCF7L2
21863107 22072560 209453 + MLLT10
31648147 31856740 208593 + ZEB1
103103814 103307058 203244 + BTRC
15599093 15801776 202683 - ITGA8
74121894 74317456 195562 + CCDC109A
76268463 76460810 192347 + MYST4
28141102 28327983 186881 - ARMC4
98750600 98935653 185053 - SLIT1
123492615 123677536 184921 - ATE1
129595314 129774155 178841 + PTPRE
22865828 23043490 177662 - PIP5K2A
95056176 95232029 175853 - FER1L3
68355818 68529072 173254 + LRRTM3
126667390 126839014 171624 - CTBP2
88506375 88674924 168549 + BMPR1A
99614747 99780575 165828 - CRTAC1
104668103 104828228 160125 + CNNM2
15293652 15453064 159412 - C10orf38
49324085 49483144 159059 - ARHGAP22
71231649 71388909 157260 + COL13A1
33506432 33663476 157044 - NRP1
80591875 80746279 154404 + ZMIZ1
69351670 69505046 153376 - HERC4
6509110 6662244 153134 - PRKCQ
126140401 126292699 152298 + LHPP
98114355 98263658 149303 - TLL2
86121039 86268252 147213 + KIAA1128
125495141 125641490 146349 - CPXM2
24912550 25052550 140000 - ARHGAP21
31173568 31313361 139793 - ZNF438
45272822 45410360 137538 - MARCH8
103995298 104132639 137341 + GBF1
17402681 17536260 133579 - ST8SIA6
69990418 70123454 133036 + CXXC6
70699761 70831641 131880 + HK1
26767271 26896736 129465 + APBB1IP
104253753 104383199 129446 + SUFU
131523536 131652081 128545 - EBF3
32775109 32903496 128387 + CCDC7
111757700 111885310 127610 + ADD3
98343060 98470269 127209 - PIK3AP1
98582726 98708655 125929 + LCOR
126297852 126422920 125068 - FAM53B
12002027 12125029 123002 - UPF2
75427877 75549918 122041 + VCL
118634297 118754866 120569 - KIAA1598
123227845 123347907 120062 - FGFR2
73526283 73645700 119417 - ASCC1
170642 289578 118936 + ZMYND11
61218527 61336314 117787 - CCDC6
92490557 92607651 117094 - HTR7
60675899 60792358 116459 - FAM13C1
27075532 27189965 114433 - ABI1
127575100 127688149 113049 + FANK1
97505905 97616454 110549 + ENTPD1
99884424 99994641 110217 + C10orf28
116044573 116154505 109932 - AFAP1L2
23256965 23366520 109555 + ARMC3
82287637 82396296 108659 + SH2D4B
7641641 7748940 107299 - ITIH5
93673715 93780058 106343 + BTAF1
18874496 18980556 106060 - NSUN6
104837903 104943006 105103 - NT5C2
74683529 74788618 105089 - TTC18
12978632 13083710 105078 - CCDC3
91180752 91285293 104541 - SLC16A12
93160081 93264500 104419 + HECTD2
25177559 25281539 103980 - PRTFDC1
63092724 63196097 103373 + C10orf107
89613174 89716382 103208 + PTEN
121475598 121578648 103050 + INPP5F
105879635 105982110 102475 - C10orf79
69538999 69641464 102465 + MYPN
17891367 17993183 101816 + MRC1
106103511 106204838 101327 + C10orf80
64951128 65051977 100849 + REEP3
133870985 133971467 100482 - STK32C
105244037 105342292 98255 + NEURL
128103565 128200000 96435 - C10orf90
88844932 88941200 96268 + FAM35A
49034607 49129806 95199 - FRMPD2
101626897 101721871 94974 - DNMBP
27334444 27429411 94967 - ANKRD26
119032595 119124927 92332 - PDZD8
18280826 18372218 91392 + SLC39A12
48357047 48447930 90883 - PTPN20B
96512452 96602661 90209 + CYP2C19
71908582 71998211 89629 + KIAA1274
74436987 74526614 89627 - P4HA1
72102564 72190664 88100 + ADAMTS14
89409455 89497440 87985 + PAPSS2
26545599 26633493 87894 + GAD2
28861705 28949473 87768 + WAC
72642354 72729714 87360 + UNC5B
88184993 88271521 86528 - WAPAL
35455806 35541891 86085 + CREM
61080528 61165766 85238 - SLC16A9
102495321 102579687 84366 + PAX2
103360411 103444733 84322 - FBXW4
71728734 71812388 83654 - LRRC20
124310170 124393242 83072 + DMBT1
15860180 15942525 82345 - C10orf97
35338813 35419300 80487 - CUL2
50336714 50417078 80364 - ERCC6
97941446 98021316 79870 - BLNK
111957352 112037113 79761 + MXI1
52236330 52315441 79111 - ACF
32597864 32676119 78255 - EPC1
16518972 16595742 76770 + PTER
845483 921702 76219 - LARP5
63622960 63698472 75512 - PLEKHK1
1092797 1168106 75309 + WDR37
115338573 115413795 75222 - NRAP
62299205 62373995 74790 - RHOBTB1
91451346 91524682 73336 + MPHOSPH1
28001811 28074753 72942 - MKX
43009989 43082373 72384 - RASGEF1A
99248757 99320950 72193 + UBTD1
22674404 22746544 72140 + SPAG6
59625623 59697700 72077 - IPMK
45189634 45261567 71933 + ALOX5
17726129 17797913 71784 + STAM
60606352 60677062 70710 + PHYHIPL
98971926 99042396 70470 - ARHGAP19
70150976 70221315 70339 + CCAR1
3099751 3168995 69244 + PFKP
101532562 101601571 69009 + ABCC2
93548048 93615012 66964 + TNKS2
124020810 124087666 66856 + BTBD16
98270421 98336799 66378 - TM9SF3
88418407 88484731 66324 + LDB3
69770869 69837028 66159 - RUFY2
134862851 134928797 65946 + KNDC1
45542672 45608417 65745 + FAM21C
51497689 51563274 65585 + LOC387680
70257386 70322821 65435 + STOX1
82204046 82269364 65318 + TSPAN14
89502854 89567897 65043 - ATAD1
76541472 76606455 64983 + SAMD8
13520642 13584982 64340 - C10orf30
72245721 72309871 64150 + SGPL1
101080022 101144075 64053 + CNNM1
80812090 80875386 63296 - C10orf56
94040899 94103701 62802 + MARCH5
91332728 91395195 62467 - PANK1
94342970 94405130 62160 + KIF11
75242264 75304349 62085 - CAMK2G
51617077 51678319 61242 - ASAH2
15189908 15250663 60755 - NMT2
92970524 93030717 60193 + PCGF5
105717459 105777332 59873 + SLK
71482622 71542021 59399 + H2AFY2
74866617 74925760 59143 - PPP3CB
111614513 111673192 58679 - XPNPEP1
97723775 97782422 58647 + C10orf130
122600684 122659026 58342 + BRWD2
33229325 33287204 57879 - ITGB1
124124209 124181856 57647 + PLEKHA1
