START STOP SIZE STRAND GENE
97631538 98880900 1249362 - ANKS1B
23576498 24606647 1030149 - SOX5
84874991 85735113 860122 - MGAT4C
128081152 128913093 831941 - TMEM132D
2032724 2672368 639644 + CACNA1C
42516228 43069807 553579 + TMEM117
970664 1472958 502294 + ERC1
80155823 80655577 499754 - PPFIA2
60388309 60872818 484509 - FAM19A2
81583401 82030531 447130 + TMTC2
13605410 14024319 418909 - GRIN2B
70952729 71345688 392959 + TRHDE
5542080 5925659 383579 - TMEM16B
76727664 77108408 380744 + NAV3
39372624 39750361 377737 + CNTN1
43188331 43556405 368074 - NELL2
38438830 38785928 347098 - SLC2A13
99691052 100024876 333824 + TMEM16D
114859102 115177863 318761 - THRAP2
109934548 110251076 316528 + CUTL2
20413485 20725646 312161 + PDE3A
62524807 62823827 299020 + SRGAP1
28301399 28593381 291982 + CCDC91
69318128 69600851 282723 - PTPRR
29550181 29828959 278778 - TMTC1
15366753 15641602 274849 + PTPRO
20859939 21134307 274368 + LST-3TM12
32151451 32422408 270957 + BICD1
37332268 37585687 253419 - CPNE8
19173994 19420598 246604 + PLEKHA5
11694054 11939590 245536 + ETV6
49185034 49428717 243683 + DIP2B
78113750 78347311 233561 + SYT1
117050326 117273271 222945 - TAOK3
50271286 50488365 217079 + SCN8A
3056817 3265990 209173 + TSPAN9
75248047 75456057 208010 - OSBPL8
118235236 118441571 206335 + CCDC60
31428984 31635219 206235 - MGC24039
102198187 102392213 194026 - C12orf42
123333841 123527720 193879 - NCOR2
118586317 118777812 191495 - CIT
63958754 64144495 185741 + MSRB3
129963716 130148713 184997 + GPR133
117882115 118063577 181462 + KIAA1853
105479499 105659047 179548 + RFX4
102483535 102662967 179432 + STAB2
44409886 44588086 178200 + ARID2
79974276 80152050 177774 + FLJ21963
92573618 92746997 173379 + CRADD
27568311 27739763 171452 + PPFIBP1
73720162 73889778 169616 - KCNC2
15664342 15833601 169259 - EPS8
78670653 78831179 160526 - PPP1R12A
48047559 48207276 159717 + SPATS2
93044966 93201693 156727 + PLXNC1
732992 888219 155227 + WNK1
91671790 91825475 153685 - EEA1
105253955 105406442 152487 + POLR3B
120329621 120481609 151988 - FBXL10
121280860 121431996 151136 - CLIP1
37973297 38123185 149888 - KIF21A
116113698 116262302 148604 - NOS1
110352737 110500200 147463 - ATXN2
12164957 12311013 146056 - LRP6
60940453 61086165 145712 + USP15
70120079 70264889 144810 + LGR5
112722582 112866836 144254 - RBM19
64504506 64646335 141829 + HMGA2
119663755 119804871 141116 - SPPL3
79693638 79834162 140524 - LIN7A
32546360 32684940 138580 + FGD4
24855561 24993499 137938 - BCAT1
40117840 40254658 136818 + PDZRN4
93977284 94113708 136424 - FGD6
21845244 21980875 135631 - ABCC9
22245201 22378915 133714 - ST8SIA1
14409877 14542964 133087 + ATF7IP
94554050 94687004 132954 - NTN4
12123499 12255214 131715 + BCL2L14
127862960 127994389 131429 + GLT1D1
131100737 131231235 130498 + EP400
41139340 41269745 130405 - PRICKLE1
108039930 108168748 128818 + ACACB
1771383 1898131 126748 - CACNA2D4
21313093 21439638 126545 - SLCO1A2
61146866 61273321 126455 + MON2
103700830 103824900 124070 - SLC41A2
41006213 41128689 122476 + PPHLN1
95174507 95296691 122184 - PCTK2
129405561 129527290 121729 - RIMBP2
26003230 26124091 120861 + RASSF8
107025977 107146778 120801 + KIAA0789
81254791 81375412 120621 + C12orf26
115811480 115931673 120193 + FBXW8
95544220 95661516 117296 + C12orf63
115638862 115753466 114604 + TMEM118
73957275 74070969 113694 - CAPS2
15151984 15265571 113587 - RERG
105670958 105783535 112577 + RIC8B
67531224 67643287 112063 - CPM
29267864 29378272 110408 + MLSTD1
52196027 52306405 110378 - ATF7
12401321 12511105 109784 + LOH12CR1
62238959 62348542 109583 - DPY19L2
21175402 21283995 108593 + SLCO1B1
48855839 48963539 107700 - LIMA1
100176384 100282859 106475 + UTP20
88315972 88422245 106273 - WDR51B
32834953 32940993 106040 - PKP2
98933331 99039110 105779 - KIAA0701
111692461 111797964 105503 + RPH3A
3627369 3732524 105155 - EFCAB4B
3471017 3573397 102380 + PRMT8
105887608 105989792 102184 - CRY1
8725553 8826952 101399 + FAM80B
439803 540878 101075 + B4GALNT3
20859894 20960921 101027 + SLCO1B3
543723 643016 99293 - NINJ2
121536688 121635826 99138 + KNTC1
78488214 78587258 99044 - PAWR
1670507 1768105 97598 + ADIPOR2
22492786 22588719 95933 - KIAA0528
109024901 109119319 94418 + IFT81
70618892 70712488 93596 + TPH2
86945261 87038461 93200 - CEP290
58369392 58461674 92282 + SLC16A7
111319255 111410436 91181 + PTPN11
100491214 100582126 90912 + MYBPC1
97541545 97631678 90133 + APAF1
75659835 75749942 90107 + ZDHHC17
99370146 99460111 89965 + NR1H4
7398825 7488015 89190 - CD163L1
69201230 69289891 88661 - PTPRB
130861864 130950512 88648 + SFRS8
83932566 84021104 88538 + LRRIQ1
87389036 87476706 87670 - KITLG
27377254 27464733 87479 + ARNTL2
25152489 25239361 86872 - CASC1
12520097 12606584 86487 - DUSP16
107541354 107627761 86407 - CORO1C
123787055 123873214 86159 - SCARB1
100641745 100727100 85355 - GNPTAB
120819202 120904538 85336 + WDR66
63290559 63375459 84900 + RASSF3
55808548 55893390 84842 + LRP1
101292143 101376791 84648 - IGF1
70519805 70604362 84557 + TBC1D15
14656842 14740696 83854 - GUCY2C
93464516 93546792 82276 - TMCC3
110927213 111009317 82104 - C12orf30
110831822 110913655 81833 - TMEM116
27288374 27369794 81420 + STK38L
2938756 3020102 81346 + TEAD4
40837175 40918317 81142 - YAF2
19483899 19564845 80946 + AEBP2
101734570 101813848 79278 - PAH
49080916 49160055 79139 + LARP4
106477100 106555886 78786 + BTBD11
63849637 63928374 78737 + LEMD3
49774887 49852931 78044 - TFCP2
124074886 124152745 77859 + AACS
101016491 101093758 77267 + C12orf48
25520282 25597445 77163 - IFLTD1
68418908 68495770 76862 + RAB3IP
104959591 105036278 76687 - NUAK1
94763294 94838896 75602 - CCDC38
112121988 112196653 74665 + TPCN1
95090674 95164074 73400 + ELK3
50105023 50177915 72892 + SLC4A8
99164016 99236380 72364 + SCYL2
110586621 110657621 71000 + ACAD10
63730675 63801356 70681 - WIF1
107683435 107753817 70382 - SSH1
109182151 109251615 69464 + ATP2A2
48317990 48387262 69272 - FMNL3
21580391 21648821 68430 - GYS2
88484295 88552312 68017 - ATP2B1
55201992 55269875 67883 + RBMS2
119027735 119095233 67498 - GCN1L1
38232813 38300237 67424 - ABCD2
30673189 30740018 66829 - IPO8
108830328 108896820 66492 - GIT2
122165827 122231321 65494 - MPHOSPH9
32723490 32788621 65131 + DNM1L
69046328 69111245 64917 + KCNMB4
33419614 33484021 64407 - SYT10
14547862 14612058 64196 - FLJ22662
131810697 131874295 63598 - POLE
46521588 46585081 63493 - VDR
99099914 99163325 63411 - DEPDC4
103183193 103246528 63335 + TXNRD1
104069541 104132475 62934 - APPL2
46723023 46785908 62885 - SENP1
122481242 122543380 62138 - FLJ39378
104003958 104065371 61413 + KIAA1033
3791397 3852801 61404 - PARP11
45444810 45506002 61192 - SLC38A4
102885231 102946382 61151 - GLT8D2
115939447 116000157 60710 - TESC
22669275 22729910 60635 + ETNK1
120138216 120198831 60615 - CAMKK2
109747530 109808058 60528 + CCDC63
54437324 54497773 60449 - CIP29
9192703 9252233 59530 - PZP
64869283 64928652 59369 + IRAK3
7857663 7916762 59099 - SLC2A14
108378158 108437226 59068 + UBE3B
1925476 1983938 58462 - DCP1B
16592573 16650698 58125 - LMO3
20739665 20797585 57920 + SLCO1C1
31715339 31773251 57912 - AMN1
49444127 49500327 56200 + ATF1
25096507 25152535 56028 + LRMP
67366997 67422739 55742 + NUP107
