START STOP SIZE STRAND GENE
9038554 9470279 431725 - ZNF560
13179114 13478317 299203 - CACNA1A
2462217 2653663 191446 - GNG7
35555167 35740805 185638 + ZNF536
4920131 5104606 184475 + JMJD2B
7067637 7245011 177374 - INSR
16864757 16998469 133712 - CPAMD8
5944174 6061554 117380 - RFX2
10689754 10803579 113825 + DNM2
17073527 17185103 111576 + MYO9B
16333407 16443762 110355 - EPS15L1
45664889 45774204 109315 + SPTBN4
3310615 3414603 103988 + NFIC
12967583 13070610 103027 + NFIX
10932605 11033953 101348 + SMARCA4
16691786 16789761 97975 + NWD1
18655424 18749762 94338 + CRTC1
38061745 38154709 92964 - CCDC123
7351865 7443370 91505 + ARHGEF18
38867273 38956253 88980 + CHST8
45045810 45132373 86563 - FCGBP
38161338 38247634 86296 - RHPN2
6723721 6808371 84650 + VAV1
43830166 43913010 82844 + ACTN4
9825394 9908070 82676 - OLFM2
8036286 8118385 82099 - FBN3
5157380 5237399 80019 - PTPRS
18414474 18493918 79444 - ELL
52325983 52405372 79389 + SAE1
37588870 37667076 78206 + DPY19L3
37779753 37857919 78166 - ANKRD27
59927812 60001550 73738 + KIR3DP1
35125264 35198451 73187 + C19orf2
3175700 3248071 72371 + BRUNOL5
3581181 3651445 70264 - PIP5K1C
47194312 47261797 67485 - GRIK5
6163965 6230959 66994 - MLLT1
1058657 1125259 66602 - SBNO2
61977740 62043887 66147 - ZIM2
2115147 2181014 65867 + DOT1L
23737655 23802757 65102 + LOC388524
11170972 11234128 63156 - DOCK6
53242916 53305826 62910 - PLA2G4C
42734147 42796834 62687 + ZNF540
61202903 61264984 62081 + NLRP5
5867153 5929113 61960 - RANBP3
10105022 10166811 61789 - DNMT1
58716089 58775335 59246 + ZNF331
14119549 14177997 58448 - LPHN1
5671706 5729741 58035 + TMEM146
6086679 6144104 57425 + ACSBG2
50722524 50779940 57416 - OPA3
19533523 19590439 56916 - PBX4
39355310 39412048 56738 + LSM14A
8491995 8548307 56312 - MYO1F
42593901 42650179 56278 - ZNF569
39482420 39538310 55890 + KIAA0355
14591051 14646810 55759 - EMR3
55856895 55912007 55112 - SHANK1
53310514 53365372 54858 - LIG1
54352863 54406903 54040 + TRPM4
47286962 47340851 53889 - POU2F2
50446681 50500381 53700 + MARK4
44308259 44361886 53627 + PAK4
8180256 8233302 53046 + LASS4
6838581 6891463 52882 + EMR1
16547837 16599754 51917 - CRSP7
45431555 45483034 51479 - AKT2
42261221 42312489 51268 + ZNF420
10843252 10894448 51196 + CARM1
16801217 16852164 50947 + SIN3B
9931236 9982147 50911 - COL5A3
2051987 2102554 50567 - AP3D1
41237659 41287847 50188 + WDR62
38263625 38313158 49533 + GPATCH1
53589943 53639205 49262 + GRIN2D
55171539 55220448 48909 - VRK3
19035807 19084697 48890 + SLC25A42
4626236 4674875 48639 - DPP9
50887771 50935851 48080 + QPCTL
17923110 17970930 47820 + KCNN1
51010561 51058207 47646 - SYMPK
12219007 12266637 47630 - ZNF44
53747240 53794495 47255 + SULT2B1
7929457 7976529 47072 - ELAVL1
11611590 11658382 46792 + LOC401898
60988576 61035166 46590 - NLRP11
19117377 19163933 46556 - MEF2B
14704204 14750353 46149 - EMR2
3831675 3877512 45837 + ATCAY
5574163 5619488 45325 + SAFB
46460263 46505438 45175 + HNRPUL1
51493498 51538530 45032 + HIF3A
21697407 21742163 44756 - ZNF100
13933352 13978097 44745 - RFX1
21781994 21826610 44616 - ZNF43
59989604 60034044 44440 + KIR3DL1
11061131 11105490 44359 + LDLR
19248321 19292307 43986 - SF4
21116727 21160645 43918 + ZNF431
51542133 51585943 43810 + PPP5C
15480336 15524127 43791 + FLJ39501
38314858 38358541 43683 + PQWD
880328 923801 43473 + ARID3A
52623734 52666934 43200 - SLC8A2
15209300 15252262 42962 - BRD4
6628877 6671660 42783 - C3
24061834 24104494 42660 + ZNF254
44524947 44567375 42428 + SAMD4B
51869412 51911506 42094 - PRKD2
37528392 37570410 42018 + ZNF507
