START STOP SIZE STRAND GENE
32478209 33340702 862493 + NPAS3
67356261 68132367 776106 + RAD51L1
66044988 66718268 673280 + GPHN
71469585 72100407 630822 + RGS6
78815434 79400511 585077 + NRXN3
31868273 32372018 503745 + AKAP6
36218828 36711616 492788 - SLC25A21
62248710 62638337 389627 - KCNH5
92869317 93243442 374125 + KIAA1409
63389453 63762903 373450 + SYNE2
36736906 37090214 353308 + MIPOL1
29115439 29466652 351213 - PRKD1
64947592 65279714 332122 + FUT8
31100428 31399259 298831 + NUBPL
41147093 41443498 296405 + LRFN5
75197373 75491174 293801 + TTLL5
72145494 72430562 285068 - DPF3
90076685 90352514 275829 - TTC7B
59132446 59407310 274864 - RTN1
35077309 35348183 270874 - GARNL1
88692277 88953127 260850 - CHES1
24351143 24588935 237792 - STXBP6
60271222 60505151 233929 + MNAT1
60858267 61087449 229182 + PRKCH
54104386 54325595 221209 + SAMD4A
71065794 71275871 210077 + SIPA1L1
70443874 70646623 202749 + PCNX
90406924 90596746 189822 - RPS6KA5
80491678 80680525 188847 + TSHR
72811670 72995039 183369 - NUMB
55654955 55837773 182818 + PELI2
58725151 58906224 181073 + DAAM1
88150956 88328910 177954 - EML5
92475959 92651980 176021 - ITPK1
92049877 92225085 175208 + RIN3
91858677 92032347 173670 + SLC24A4
62911107 63079832 168725 - PPP2R5E
89331093 89490786 159693 - C14orf143
99912702 100066393 153691 + WDR25
69415895 69567836 151941 + SMOC1
25984928 26136800 151872 - NOVA1
34661526 34813019 151493 + KIAA0391
91116870 91268166 151296 - C14orf161
99329497 99478146 148649 + EML1
57540560 57688600 148040 - C14orf37
69580686 69725540 144854 - SLC8A3
87720999 87863004 142005 - KCNK10
101899130 102038570 139440 + KIAA0329
77336226 77470047 133821 + ADCK1
102128985 102262596 133611 + RCOR1
30432760 30565340 132580 - STRN3
75907478 76036961 129483 + ESRRB
102313568 102442381 128813 + TRAF3
94727617 94855955 128338 - CLMN
80806661 80934680 128019 - STON2
102468469 102593552 125083 - CDC42BPB
89597860 89721948 124088 + KCNK13
34291689 34414604 122915 - BAZ1A
51967058 52088963 121905 - KIAA1344
57963906 58084594 120688 + KIAA0586
50511732 50631797 120065 - TRIM9
102921523 103039917 118394 + MARK3
101345924 101463828 117904 + PPP2R5C
74034639 74148787 114148 - LTBP2
49954992 50069126 114134 - MAP4K5
103269841 103383555 113714 - PPP1R13B
30161271 30274769 113498 + SCFD1
64302870 64416308 113438 - SPTB
44501160 44613383 112223 + KIAA0423
50256231 50367589 111358 - NIN
90650796 90761449 110653 + C14orf159
77043024 77152863 109839 - SPTLC2
52582492 52689750 107258 - DDHD1
93710401 93815825 105424 + KIAA1622
68410792 68515709 104917 - ACTN1
61532490 61637178 104688 + SYT16
55116792 55221047 104255 + KTN1
69148065 69251612 103547 + KIAA0247
98705376 98807575 102199 - BCL11B
68587394 68689502 102108 - WDR22
75521877 75619842 97965 + C14orf179
85066240 85164022 97782 + FLRT2
95928200 96024866 96666 + AK7
92773650 92869138 95488 - BTBD7
66777773 66872288 94515 + MPP5
52393742 52487460 93718 - PLEKHC1
51414059 51506263 92204 + GNG2
104746669 104838374 91705 - BRF1
89491998 89580859 88861 + TDP1
62740897 62828312 87415 + RHOJ
88003869 88090876 87007 - PTPN21
54476691 54563557 86866 - WDHD1
101500736 101586887 86151 + DYNC1H1
38804246 38890333 86087 + CTAGE5
96333467 96417693 84226 + VRK1
72672931 72756862 83931 + PSEN1
101675964 101759762 83798 + WDR20
